"","M.C.193","M.C.216","M.C.218","M.C.226","M.C.306","M.C.329","M.C.334","M.C.337","M.C.339","M.C.358","M.C.360","M.C.363","M.C.373","M.C.482","M.C.488","M.T.18","M.T.20","M.T.22","M.T.235","M.T.245","M.T.29","M.T.31","M.T.32","M.T.399","M.T.43","M.T.44","M.T.500","M.T.7","M.T.83","M.T.8"
"LOC132759609",3.07148213029648,0,2.7575468571127,2.6816102412253,3.3813266700804,3.14451912024735,2.06633073347758,1.80926770475045,2.56807382675125,3.60426130965965,2.66977008492604,3.14329803362993,3.94770911422138,4.41878475039579,5.51867847014076,7.23559158929065,5.68105284374486,2.94806342616974,5.83973765801854,4.54468884288892,4.79643621873841,6.26933784387085,4.4704267184538,4.85027349258242,2.35861545080515,6.7045561050707,2.65664119541923,5.74878530009933,4.6080879928025,4.47605951702593
"LOC132720785",5.74873900899028,4.40954531619067,3.50746700606652,4.62607442969565,3.86859969348788,5.07376619133498,5.25533757425852,5.99131975108021,3.1519033551788,4.54369401576929,5.42667878322004,4.54762888033499,5.95540449930582,5.29935269013939,5.77068929785904,6.15051547670303,6.84867399601751,7.57741879170407,4.92162251603253,4.88482499659472,6.03324167950083,6.48016749788646,5.32480888227572,6.7783586238111,7.29017876282844,8.00347129767687,5.63841631265405,5.54483435687349,5.19529087941166,6.64215416803371
"LOC132758583",10.1019673197751,10.8773501746655,11.7144647529036,9.74830678921104,10.3820809970337,11.9509381334128,10.7654478027626,12.0503117281722,9.69912279632985,10.796885754072,10.7938886021984,10.8136109456379,9.42183721060441,10.7184270230441,11.491753726929,9.28618030103704,9.14759808597781,9.93772782652808,10.5111217381561,10.5011711158327,9.77985102959876,9.65947279504225,9.0548376729379,10.6551347121341,9.7501413930994,9.39699506685231,10.3790022057957,9.72609640581951,9.89159636520636,9.93476912120674
"LOC132742068",6.92307112614632,6.64401657316272,6.2241832802976,5.61660700479053,7.64294172656035,8.82007232022825,5.75853466565484,5.57752990854162,5.78742949837145,4.73723697382022,5.09058018366333,6.42744240043011,5.00364673916465,5.46520124896278,7.20520802982001,4.57060213365787,4.24073333238891,5.46537102416996,5.80989987943872,5.51344597339986,4.89594482999702,4.6596585183442,4.62121991031871,5.97228286095257,5.57872230603626,5.39724799441145,5.29280225978208,3.84698767410541,4.54065345761706,5.72113683535457
"LOC132749309",7.07938204682935,7.83463234359248,6.50611761989213,7.77467217948879,7.20494470941321,7.48197970211761,6.61041612799779,6.01013014648374,7.27446062987536,5.0604211628025,8.11482925592577,7.13871352371515,8.69711763732784,6.48786123307323,8.23214687698312,6.11451024593609,5.98283147275859,5.89566480535525,6.08368221694266,6.13955170170571,5.51248440159296,6.32995887820283,5.75276915562985,5.44752614052922,4.3892753472588,5.89849325869113,7.08494735972445,7.65713227733071,5.4369876290602,4.47605951702593
"LOC132715395",5.77336731786146,5.16506441448112,5.00527651514548,5.17800358881348,5.58801188703085,6.08032991485307,4.89209032880905,5.4998045071258,4.88728129187906,5.93717129007035,5.94915702807336,5.91469106955241,6.55831308097533,5.5414839121667,5.74149238165252,7.03832035420892,6.28054463476964,6.09109147715573,6.85657506940145,5.20910552767564,6.34636595639332,8.3362831631873,6.13348301288085,5.61056492471208,6.37308183155878,5.66953088689629,8.26521926492313,7.29419157930702,6.57991814232007,6.07761653180408
"LOC132728236",7.56880974743308,6.9760086843922,6.90335829202844,6.96445061254837,7.54930607719224,6.98283795447086,7.30637699739984,7.46209360761892,7.83777880480103,7.00272790405796,7.17013276277306,6.22644644567342,7.26851745932097,7.13055706449071,6.78629527215264,7.62922093346057,7.69585086879149,7.70232008395492,7.74390263076755,8.17456941836628,8.00552749274111,7.88955166099095,7.66471810026423,7.36275224507768,7.63793911802094,7.93802998309259,7.65501491601223,8.04479158915624,7.25232366773412,7.5378112375203
"LOC132758254",9.44733975268149,9.77906029494095,8.48954547834753,8.86021999717221,8.81724465385418,8.77342918424397,9.27498614270781,9.42998614554437,8.69056493688324,8.95910725284927,8.48603793926407,9.03577101637833,8.29984908208429,8.16813441249638,8.75470458287549,8.32832954956755,7.82623214129801,7.77364536044624,8.38343590061546,8.05174338264745,7.90758552588718,8.87298872027417,8.36598524389449,7.77177225195341,7.84209329668621,8.3477244843884,8.74360253690968,8.51132191620593,8.75117622367302,7.86963205327255
"LOC132733016",3.35867145040216,2.45956416817049,3.50746700606652,3.07837231356321,2.04966709315443,3.14451912024735,2.8829173408643,1.41671132277901,0,4.47294537930995,1.47910596823817,1.69541048755027,2.93738432991487,2.53539821205693,5.29579415458019,4.27686352281822,5.13363318974098,2.53554195756198,2.17534873062524,5.55212047357294,5.44836529664703,6.61620115382847,4.41644401114772,1.45435630240702,5.61967975433364,5.23904614032339,6.29392664010439,4.25669274632815,2.11806562713728,6.92049725520193
"LOC132729883",5.77336731786146,3.47588087294456,2.15622584829899,1.59974312824781,2.64004407472752,4.53739187789599,2.06633073347758,4.87705511819354,3.56637403448286,4.32010355103705,3.84881763305712,3.14329803362993,2.4436441421051,4.71073399103699,3.57745253914817,5.02312317066224,4.10435386996911,5.98580326381076,7.6543933769448,4.82291254478306,4.68955223991302,5.56510446671362,4.4704267184538,3.40216068017924,5.6790149768526,6.95920626944549,3.24625799266305,5.52028544747812,6.84043690436445,3.89355402512699
"LOC132746012",9.28768067835211,9.4872481178659,9.52863792993236,9.49714155638962,9.91752932775461,9.53811313089773,9.7724252920786,9.98424182254063,9.15217265818403,9.32067331101323,9.36976535082605,9.92734969169376,9.43577862701026,9.31707491938363,9.77481290902535,8.98839710785469,8.97988714228102,9.24892375502574,9.50746998781937,9.20884434446874,9.11281699567892,9.15295306825598,9.05704454608352,9.24882793900626,8.99106781122616,9.0586493370264,9.309459471796,9.33380816937231,9.36700700733871,9.32513291583439
"LOC132757649",7.83760099865252,8.65748005168838,8.52608665636568,8.27470801712899,8.88588649669759,9.72352204372426,8.75999674809589,8.16253917087918,8.04587516970895,9.55920134988461,9.68696114924865,10.1695326907519,7.72728549504515,8.35412180965813,10.0920809648274,6.41016110075287,5.96324871346337,6.8951750905631,8.26747450611964,7.87234543653239,6.64699935422738,9.23449735535868,6.89547255245634,8.66401936618719,8.68101791876973,7.21010776505061,8.43406998148769,7.01553547994612,7.47637433740094,6.27989715179948
"LOC132727157",5.89057134993081,8.23557740141652,6.00869737102561,7.17509010421388,8.4055012694074,8.04295648321402,6.67185526712192,8.46483101338893,6.62377024790417,6.68047307864329,7.09665930990539,6.99419499451587,7.53345329486799,6.78319647561502,7.23693681885083,6.53798934236662,5.79621128601568,6.66898240557319,6.47449661331701,6.61181559368095,7.06557512028195,5.09181552242027,4.88243755914286,5.53134743213962,6.05251016037143,6.60427842181083,6.12873115197232,6.92492376447673,6.30303819008201,6.89831551771809
"LOC132722184",7.11835506935678,8.3692135203689,8.10482310113977,7.28563215788224,7.8271045194379,8.0357883325618,8.09307329161806,8.31781835066001,6.93407082463825,7.31736503906188,7.63333962572979,7.00680677532401,7.32952807977047,8.51884729011273,7.91665169407446,7.39416515402927,6.07694608532875,6.8478857022896,7.28304917598629,7.41807883551476,6.99999069547645,7.09509327766266,6.4344179858526,6.63414831402581,7.91794159031699,6.59123906524414,7.3979569543247,7.06729083778545,6.59661659312513,7.14433216669617
"LOC132732296",8.831515202081,9.55786480241564,9.49446909300628,8.67669611142438,9.41226480376938,8.80750028352015,8.71692170003504,8.59512729420925,8.91344217731057,8.72800447675701,7.8275112967715,8.41007635243712,9.40303657977962,9.14437821768632,9.01474375879473,10.2880582133851,10.085357925041,9.56078592148204,10.2501378751259,8.70306965085002,9.957353448697,9.11326205690929,9.52393747925095,9.98195096983897,9.68288738213024,9.20278155559646,8.75427755493213,9.02688852710473,9.91840998040552,9.6643824310445
"LOC132741452",11.808776121674,12.5971087631752,12.3346395554132,12.3945220546819,12.5395443850551,12.6798283104025,12.1287345432688,12.564839652386,11.425766467,12.0125926577977,11.9039451094684,12.1734953680538,11.5519656194608,11.8708833570006,12.7005671917003,11.7180806643156,10.8845181818021,11.6794433558442,11.9175480970951,11.9109441723849,11.0998161190179,11.7432509025098,10.9773228849046,11.7349597528703,11.7566517222192,10.76231358009,11.746903873526,11.9095408013944,11.2774819405359,12.2418194018816
"LOC132746437",7.13745375427722,7.4264258162061,7.55231179376815,7.67305704369146,7.8793450273542,7.75069040009001,7.67979586469621,6.94125483676295,7.37214878275175,7.76510417974028,6.93743418103067,7.56262388390912,7.8152368675541,7.83083629167779,8.01142776855315,6.75231615902161,5.8181796256594,6.64151268714973,7.02186620985904,7.27512715785081,7.28336847169643,6.63233771884714,6.63682826731549,7.35510472562398,7.57685345730899,6.20277372721978,7.31386131670284,6.38719896580013,7.25232366773412,7.15372584061882
"LOC132729677",9.06139358744438,10.1895231550588,9.60321607849622,9.19450401391474,9.50038515702351,9.64561433338823,9.52228530856617,10.1545370335745,8.48359176427944,9.67797571957807,9.5815036905602,9.86983004148232,9.30517280136625,9.34128476835684,9.93007013083193,9.20290183181052,8.62230128995368,8.75119584056241,9.14480231642577,8.88070446158901,9.3263147831344,9.07834984386208,8.61995528828673,8.94695589075056,9.2880211583828,8.9732784009889,9.31907839786746,9.20302805216178,8.64279680825047,9.44474819739358
"LOC132713118",9.5219065113168,10.1080327708105,10.5208870198412,10.1188096526992,10.1129130221084,10.9551071573278,10.5522656321396,10.00783125693,10.3944099418375,10.1009059486633,9.94028396486898,10.4855895939809,10.4242856875949,10.8823107601676,10.2140033904211,9.22417644205493,9.54013608753741,9.82777366896581,9.43845716328305,9.33341530193752,10.2947459788391,9.69062925671194,9.34585806670554,9.30944162826312,10.2118391715638,9.55308692138547,10.3083221347803,8.43457656302664,9.94310304941179,10.1150877972343
"LOC132722155",7.68370233577315,9.17258923122414,8.66773872279435,7.92690842861823,8.58531080003439,9.76312485947179,9.63648835580933,8.89496138046778,7.43925745048962,8.85514972620649,9.258362648865,9.57394001273468,8.01417784315464,8.65813635031659,8.37682949922752,6.65540762606875,6.98114973406113,7.90073480880024,7.93570618911752,7.95404083383843,8.23664022080882,7.50749033870036,7.88940080024054,8.33522683350231,8.7073822386501,8.0894446693507,8.28006996413371,6.89659205509071,8.37404128330483,8.42176499796068
"LOC132730855",4.89237475705377,6.05000810758374,6.59479835688153,5.57623638211652,7.40530255632193,4.95719211081621,5.84108970054344,4.74853188179057,2.98226168023411,7.14604600932309,7.03898946754536,5.28753634541182,6.31854297765408,5.34263619424084,7.52088992104631,4.14028647707946,5.41884692380898,5.22744811256766,5.02912349254668,4.69049725550399,5.34650458586187,4.6596585183442,4.99721541423499,5.50394457619215,4.01246649316747,4.06670871466964,1.64258753021607,4.19598885438637,6.1975277915597,4.21400841691257
"LOC132737163",3.22221117097781,3.85813182639932,3.18069457465006,5.37913117947178,3.22860497291318,4.45380678577347,3.78165395146592,3.34818891347632,2.78998079747721,3.60426130965965,3.31307111776767,5.3283007777748,8.09253865290382,3.55999089632335,3.11376505541116,4.7218489790638,5.41884692380898,5.82416133652378,7.17015146831875,5.55212047357294,4.38153402330708,6.31003355981991,5.32480888227572,4.13202196945989,5.7908309041242,4.27674925757271,4.08039321976261,5.09089591718861,4.05240457306383,2.90090004419305
"LOC132737737",10.7942129787291,12.8078187744688,11.2801459030292,11.2980361715206,11.9835783282822,13.2400778141374,11.9202512867569,12.2639880520507,11.0882434475291,11.9666619388105,12.5248978001112,12.6514725028084,10.3328768857728,12.1275256607019,13.2820554835052,10.673977492082,10.5341982546214,11.4626006259686,11.5545848605766,11.2436578332503,10.0972100639642,10.5786018738497,9.6752657979622,11.2309469228597,11.9426664884782,11.013893956487,11.8512733990353,10.1794398528921,11.5254539543008,11.9593352792122
